DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2019/01/07 00:00:00+00,1900,0800,300 CARLTON RD     ,LARCENY,,From Motor Vehicle,99
2019/01/07 00:00:00+00,1740,1740,300 SPRING ST     ,ROBBERY,Yes,All Other,100
2019/01/07 00:00:00+00,1930,1930,3000 ERIE BLVD E ,LARCENY,,From Motor Vehicle,101
2019/01/07 00:00:00+00,0900,0846,400 GRANT AV     ,LARCENY,Yes,All Other,102
2019/01/07 00:00:00+00,1734,1734,400 W  ONONDAGA ST     ,LARCENY,,From Building,103
2019/01/07 00:00:00+00,1900,2300,900 JAMES ST     ,BURGLARY,,From Building,104
2019/01/07 00:00:00+00,1517,1517,900 S  SALINA ST     ,LARCENY,,Shoplifting,105
2019/01/08 00:00:00+00,1630,1630,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,106
2019/01/08 00:00:00+00,0944,0850,100 GREENLAND DR     ,LARCENY,,From Mailbox,107
2019/01/08 00:00:00+00,0640,0640,1100 PARK ST     ,MV THEFT,,Motor Vehicle,108
2019/01/08 00:00:00+00,0900,1715,1300 E  COLVIN ST     ,LARCENY,,From Motor Vehicle,109
2019/01/08 00:00:00+00,1400,1400,1600 E  ERIE BLVD   ,LARCENY,,From Motor Vehicle,110
2019/01/08 00:00:00+00,1813,1813,3800 S  SALINA ST     ,LARCENY,,From Building,111
2019/01/08 00:00:00+00,0950,1810,400 E  WASHINGTON ST     ,MV THEFT,,Motor Vehicle,112
2019/01/08 00:00:00+00,2340,2340,500 ASH ST     ,ROBBERY,,All Other,113
2019/01/08 00:00:00+00,1900,1900,600 GIFFORD ST     ,ROBBERY,,All Other,114
2019/01/09 00:00:00+00,1900,0110,100 FERNWOOD AV     ,BURGLARY,,From Building,115
2019/01/09 00:00:00+00,1530,1536,100 JOSEPHINE ST     ,MV THEFT,,Motor Vehicle,116
2019/01/09 00:00:00+00,2354,2354,100 S  FRANKLIN ST     ,LARCENY,,From Motor Vehicle,117
