DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Attempt,Arrest,LarcenyCode,FID
2017/03/09 05:00:00+00,1437,1440,1400 MIDLAND AV     ,ROBBERY, ,,All Other,147
2017/03/09 05:00:00+00,1450,1505,2900 E  GENESEE ST     ,LARCENY, ,Yes,All Other,148
2017/03/09 05:00:00+00,1900,1900,100 CLYDE AV     ,LARCENY, ,,All Other,149
2017/03/09 05:00:00+00,1920,1920,100 STEWART CT     ,LARCENY, ,,All Other,150
2017/03/09 05:00:00+00,2210,2210,900 SPRING ST     ,BURGLARY, ,,All Other,151
2017/02/06 05:00:00+00,950,950,500 S  STATE ST     ,MV THEFT, ,,All Other,152
2017/01/23 05:00:00+00,1754,1754,2600 ERIE BLVD   ,ROBBERY,A,,All Other,153
2017/02/06 05:00:00+00,1416,1416,100 REMINGTON AV     ,LARCENY, ,,All Other,154
2017/01/23 05:00:00+00,1437,1700,1400 E  FAYETTE ST     ,LARCENY, ,,All Other,155
2017/02/06 05:00:00+00,740,1900,400 GRIFFITHS ST     ,LARCENY, ,,All Other,156
2017/01/24 05:00:00+00,618,618,1100 WESTCOTT ST     ,AGGRAVATED ASSAULT, ,,All Other,157
2017/02/07 05:00:00+00,800,800,100 SOLAR ST     ,LARCENY, ,,All Other,158
2017/01/24 05:00:00+00,1136,1136,200 RIGI AV     ,LARCENY, ,,All Other,159
2017/02/07 05:00:00+00,2130,900,400 N  SALINA ST     ,BURGLARY, ,,All Other,160
2017/01/24 05:00:00+00,1227,1227,1 DESTINY USA DR,LARCENY, ,,All Other,161
2017/02/07 05:00:00+00,840,1400,300 OAK ST     ,BURGLARY, ,,All Other,162
2017/01/24 05:00:00+00,1322,1322,1300 MADISON ST     ,LARCENY, ,Yes,All Other,163
2017/02/07 05:00:00+00,1440,1440,400 WESTCOTT ST     ,LARCENY, ,Yes,All Other,164
2017/01/24 05:00:00+00,1333,1333,500 S  STATE ST     ,LARCENY, ,,All Other,165
2017/02/07 05:00:00+00,1250,1310,1900 GLENWOOD AV     ,LARCENY, ,,All Other,166
2017/01/24 05:00:00+00,0,1400,100 KELLOGG ST     ,LARCENY, ,,All Other,167
2017/02/08 05:00:00+00,2130,900,400 N  SALINA ST     ,BURGLARY, ,,All Other,168
2017/01/24 05:00:00+00,1751,1751,500 S  STATE ST     ,LARCENY, ,,All Other,169
2017/02/08 05:00:00+00,2026,2026,100 LAKEVIEW AV     ,LARCENY, ,,All Other,170
2017/01/24 05:00:00+00,830,1730,300 MIDLAND AV     ,BURGLARY, ,,All Other,171
2017/02/09 05:00:00+00,249,249,900 HIGHLAND ST     ,ROBBERY, ,,All Other,172
2017/01/24 05:00:00+00,1400,1430,1200 MILTON AV     ,LARCENY, ,,All Other,173
2017/02/09 05:00:00+00,255,255,1000 SPRING ST     ,ROBBERY, ,Yes,All Other,174
2017/01/25 05:00:00+00,1115,1115,100 SABINE ST     ,ROBBERY, ,,All Other,175
2017/02/09 05:00:00+00,400,407,1100 N  SALINA ST     ,ROBBERY, ,Yes,All Other,176
2017/01/25 05:00:00+00,1530,1530,100 HENRY ST     ,LARCENY, ,,All Other,177
2017/02/09 05:00:00+00,1145,1145,1700 S  SALINA ST     ,ROBBERY, ,Yes,All Other,178
2017/01/25 05:00:00+00,1611,1611,100 SEWARD ST     ,LARCENY, ,Yes,All Other,179
2017/02/09 05:00:00+00,1145,1145,500 S  SALINA ST     ,LARCENY, ,,All Other,180
2017/01/26 05:00:00+00,435,445,0 WALSH CIR    ,ROBBERY, ,,All Other,181
2017/01/26 05:00:00+00,1700,745,600 N  SALINA ST     ,BURGLARY, ,,All Other,182
2017/01/26 05:00:00+00,2145,930,1 DESTINY USA DR,LARCENY, ,,All Other,183
2017/01/26 05:00:00+00,1019,1019,600 N  SALINA ST     ,BURGLARY, ,,All Other,184
2017/01/26 05:00:00+00,1222,1222,300 OAK ST     ,LARCENY, ,Yes,All Other,185
2017/01/26 05:00:00+00,1254,1254,1600 GRANT BLVD   ,LARCENY, ,,All Other,186
2017/01/27 05:00:00+00,539,539,600 W  ONONDAGA ST     ,LARCENY, ,,All Other,187
2017/01/27 05:00:00+00,1408,1408,1 DESTINY USA DR,ROBBERY, ,,All Other,188
2017/01/27 05:00:00+00,1605,1605,1 DESTINY USA DR,LARCENY, ,,All Other,189
2017/01/27 05:00:00+00,2335,2335,100 E  WATER ST     ,LARCENY, ,,All Other,190
2017/01/28 05:00:00+00,1952,1952,100 WARHAM ST     ,ROBBERY, ,,All Other,191
2017/01/29 05:00:00+00,1611,1611,2500 ERIE BLVD E ,LARCENY, ,,All Other,192
2017/01/29 05:00:00+00,2305,2305,3700 S  SALINA ST     ,LARCENY, ,,All Other,193
2017/01/29 05:00:00+00,1711,1711,1 DESTINY USA DR,LARCENY, ,,All Other,194
2017/01/29 05:00:00+00,2350,1230,1400 W  GENSEEE ST     ,LARCENY, ,,All Other,195
2017/01/29 05:00:00+00,1230,1240,100 S  CROUSE AV     ,LARCENY, ,,All Other,196
2017/01/30 05:00:00+00,1356,1356,400 BRATTLE RD     ,LARCENY, ,,All Other,197
2017/01/31 05:00:00+00,1445,1610,700 S  CROUSE AV     ,LARCENY, ,,All Other,198
2017/01/31 05:00:00+00,730,1750,200 SEDGWICK ST     ,LARCENY, ,Yes,All Other,199
2017/01/31 05:00:00+00,1215,1215,500 ULSTER ST     ,LARCENY, ,,All Other,200
2017/02/02 05:00:00+00,815,1330,100 STEUBEN ST     ,BURGLARY, ,,All Other,201
2017/02/02 05:00:00+00,1546,1546,900 JAMES ST     ,LARCENY, ,Yes,All Other,202
2017/02/03 05:00:00+00,43,43,500 DELAWARE ST     ,LARCENY, ,,All Other,203
2017/02/03 05:00:00+00,1350,1420,2500 ERIE BLVD E ,LARCENY, ,,All Other,204
2017/02/03 05:00:00+00,2137,2137,100 GRIFFITHS ST     ,ROBBERY, ,,All Other,205
2017/02/03 05:00:00+00,1000,1000,2500 ERIE BLVD E ,LARCENY, ,,All Other,206
2017/02/03 05:00:00+00,2040,1030,500 S  CLINTON ST     ,LARCENY, ,,All Other,207
2017/02/04 05:00:00+00,1231,1231,600 LEMOYNE AV     ,BURGLARY, ,,All Other,208
2017/02/04 05:00:00+00,1505,1505,300 MERRIMAN AV     ,ROBBERY, ,,All Other,209
2017/02/04 05:00:00+00,1400,1400,900 HAWLEY AV     ,LARCENY, ,,All Other,210
2017/02/04 05:00:00+00,1720,2310,300 MAINS AV     ,BURGLARY, ,,All Other,211
2017/02/04 05:00:00+00,0,0,100 E  MATSON AV     ,LARCENY, ,,All Other,212
2017/02/04 05:00:00+00,100,200,700 S  CROUSE AV     ,LARCENY, ,,All Other,213
2017/02/04 05:00:00+00,1700,2330,300 OSTROM AV     ,LARCENY, ,,All Other,214
2017/02/05 05:00:00+00,215,215,1000 BUTTERNUT ST     ,BURGLARY, ,,All Other,215
2017/03/10 05:00:00+00,1112,1112,100 MOSLEY DR     ,BURGLARY, ,,All Other,216
2017/03/10 05:00:00+00,1040,1040,900 MIDLAND AV     ,LARCENY, ,,All Other,217
2017/02/09 05:00:00+00,1115,1230,100 FELLOWS AV     ,LARCENY, ,,All Other,218
2017/03/11 05:00:00+00,1238,1238,300 ELM ST     ,ROBBERY,A,Yes,All Other,219
2017/02/09 05:00:00+00,1130,830,300 COLUMBUS AV     ,LARCENY, ,,All Other,220
2017/03/11 05:00:00+00,500,515,2400 JAMES ST     ,LARCENY, ,Yes,All Other,221
2017/02/10 05:00:00+00,1231,1231,900 JAMES ST     ,LARCENY, ,,All Other,222
2017/03/11 05:00:00+00,1930,1930,400 DURSTON AV     ,ROBBERY, ,Yes,All Other,223
2017/02/11 05:00:00+00,1706,1706,700 BUTTERNUT ST     ,LARCENY, ,Yes,All Other,224
2017/03/11 05:00:00+00,1940,2045,200 W  COLVIN ST     ,LARCENY, ,,All Other,225
2017/02/11 05:00:00+00,1430,1430,600 HIAWATHA BLVD   ,LARCENY, ,Yes,All Other,226
