X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
-8479122.98297704,5317502.05371966,1185,2018/03/31,1200,1200,200 FITCH ST,MV THEFT,
-8474269.26650591,5319127.50243337,1186,2018/03/31,1834,1834,400 MAPLE ST,BURGLARY,
-8475007.42177057,5317812.45388796,1187,2018/05/03,1125,1125,100 COLLEGE PL,LARCENY,
-8473799.15996706,5318040.00085864,1188,2018/05/03,1159,0530,100 TRINITY LN,MV THEFT,
-8478805.53141154,5319749.52146844,1189,2018/04/26,0810,1645,400 WILKINSON ST,BURGLARY,
-8478220.10557267,5322599.67941941,1190,2018/03/31,0615,0638,400 BEAR ST,AGGRAVATED ASSAULT,
-8478715.3626224,5317734.32159562,1191,2018/05/03,0542,0542,300 KELLOGG ST,BURGLARY,
-8477379.66615009,5318720.61102272,1192,2018/03/31,2100,2102,600 S  CLINTON ST,AGGRAVATED ASSAULT,
,,1193,2018/04/01,2336,2336,UNKNOWN,MV THEFT,
-8473619.32337124,5318334.72352311,1194,2018/05/03,1420,1830,500 WESTCOTT ST,LARCENY,
,,1195,2018/03/31,1330,1330,9500 DESTINY USA DR,LARCENY,
-8478247.61060164,5314786.91202981,1196,2018/04/01,1502,1502,2000 SOUTH AV,LARCENY,
-8474650.82825011,5318861.40915639,1197,2018/03/29,1200,1530,200 OSTROM AV,LARCENY,
-8473408.42855475,5317366.97143526,1198,2018/05/04,1400,0900,200 ROOSEVELT AV,LARCENY,
-8478177.55442539,5323507.72395537,1199,2018/04/01,0150,0153,700 WOLF ST,AGGRAVATED ASSAULT,
-8482090.43431897,5320730.82319,1200,2018/04/01,0300,0505,300 CHEMUNG ST,AGGRAVATED ASSAULT,
-8472235.90527192,5322442.77621297,1201,2018/04/01,0159,0159,2800 JAMES ST,ROBBERY,
-8478618.68173775,5319218.94707842,1202,2018/05/04,1934,1934,500 W  FAYETTE ST,BURGLARY,
-8477219.22453842,5322743.65769402,1203,2018/04/01,2100,1430,800 KIRKPATRICK ST,BURGLARY,
-8477147.42768589,5318697.99900857,1204,2018/05/04,0800,1200,600 S  WARREN ST,LARCENY,
-8474035.95202775,5319322.77790304,1205,2018/04/02,1451,1451,200 CHERRY ST,AGGRAVATED ASSAULT,
-8475985.25220752,5319155.883374,1206,2018/05/04,1300,1315,700 E  GENESEE ST,LARCENY,
,,1207,2018/04/02,1900,2235,0 DESTINY USA DR,LARCENY,
-8473635.17925818,5321415.45875792,1208,2018/04/02,2033,2033,200 MARIPOSA ST,MV THEFT,
-8472595.69929961,5322731.60263645,1209,2018/04/02,1700,1030,300 LILLIAN AV,BURGLARY,
-8482246.47261936,5321097.34321523,1210,2018/05/05,0500,1800,1300 WILLIS AV,BURGLARY,
-8479640.62775083,5319911.06668829,1211,2018/04/02,2339,2339,800 PARK AV,BURGLARY,
-8475174.2340638,5318048.22553831,1212,2018/05/05,0834,0834,200 WAVERLY AV,LARCENY,
-8475174.2340638,5318048.22553831,1213,2018/05/05,1741,1741,200 WAVERLY AV,LARCENY,
-8477794.02541971,5322593.00353099,1214,2018/04/02,2025,2025,900 CARBON ST,LARCENY,
-8476758.88297406,5321801.56900688,1215,2018/04/02,0249,0249,700 E  DIVISION ST,LARCENY,
-8477088.31705368,5319361.52736912,1216,2018/05/05,0120,0120,300 S  WARREN ST,LARCENY,
-8477088.31705368,5319361.52736912,1217,2018/05/05,1835,1835,300 S  WARREN ST,LARCENY,
-8478137.92195394,5316115.15195967,1218,2018/04/03,1746,1746,0 CENTENNIAL DR,MV THEFT,
-8477643.06705348,5317514.97480985,1219,2018/04/03,2252,2252,500 TALLMAN ST,BURGLARY,
-8477642.35404814,5321881.71959897,1220,2018/05/06,0300,0600,300 KIRKPATRICK ST,MV THEFT,
-8476082.43407347,5319948.32324604,1221,2018/05/06,0800,1039,200 CATHERINE ST,BURGLARY,
-8477233.90113266,5319517.41915611,1222,2018/04/02,1124,1124,200 S  SALINA ST,BURGLARY,
-8472755.70678272,5322908.91346079,1223,2018/05/06,0200,0930,300 MARLBOROUGH RD,LARCENY,
-8479147.17097962,5316600.79131462,1224,2018/05/06,1946,1946,300 STOLP AV,AGGRAVATED ASSAULT,
,,1225,2018/04/04,1405,1405,0 DESTINY USA DR,LARCENY,
,,1226,2018/04/04,2018,2018,0 DESTINY USA DR,LARCENY,
-8478883.31964026,5317219.76204015,1227,2018/04/04,0258,0258,100 PUTNAM ST,AGGRAVATED ASSAULT,
-8477382.04996428,5318739.12723116,1228,2018/04/04,0850,0850,100 DICKERSON ST,LARCENY,
-8473261.5956971,5322343.63381857,1229,2018/04/05,1707,1707,100 MILDRED AV,LARCENY,
-8476767.21594239,5322038.05421446,1230,2018/05/07,2300,1024,500 CARBON ST,LARCENY,
-8477291.19680058,5319070.88526748,1231,2018/05/07,0829,0829,400 S  SALINA ST,BURGLARY,
-8472910.49651984,5320898.51700259,1232,2018/05/07,1200,0500,500 HICKOK AVE,LARCENY,
-8474081.34124574,5319131.39682417,1233,2018/04/05,1957,1957,100 LEXINGTON AV,LARCENY,
,,1234,2018/03/29,1902,1902,0 DESTINY USA DR,LARCENY,
-8473242.11722899,5321778.86925094,1235,2018/05/07,2215,0730,500 MELROSE AVE,LARCENY,
-8475362.5866613,5313966.92653348,1236,2018/05/07,1456,1456,500 W  BRIGHTON AV,LARCENY,
