DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2021/01/25 00:00:00+00,0300,0335,1 DESTINY USA DR,BURGLARY,,N/A,104
2021/09/28 00:00:00+00,1515,1530,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,105
2021/03/16 00:00:00+00,1500,1500,1 DESTINY USA DR,LARCENY,,Shoplifting,106
2021/09/20 00:00:00+00,1855,1855,1 DESTINY USA DR,LARCENY,,All Other,107
2021/01/13 00:00:00+00,1542,1542,1 DESTINY USA DR,BURGLARY,Yes,Shoplifting,108
2021/12/12 00:00:00+00,2000,2225,1 DESTINY USA DR,LARCENY,,All Other,109
2021/12/02 00:00:00+00,1528,1528,1 DESTINY USA DR,LARCENY,Yes,,110
2021/01/13 00:00:00+00,1820,1820,1 DESTINY USA DR,LARCENY,Yes,,111
2021/04/01 00:00:00+00,1823,1823,1 DESTINY USA DR,LARCENY,,Shoplifting,112
2021/08/31 00:00:00+00,1200,1210,1 DESTINY USA DR,LARCENY,,Shoplifting,113
2021/08/31 00:00:00+00,1500,1500,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,114
2021/06/15 00:00:00+00,1121,1123,1 DESTINY USA DR,LARCENY,,Shoplifting,115
2021/01/13 00:00:00+00,1205,1220,1 DESTINY USA DR,LARCENY,,Shoplifting,116
2021/09/21 00:00:00+00,1454,1454,1 DESTINY USA DR,LARCENY,,From Building,117
2021/12/11 00:00:00+00,1926,1926,1 DESTINY USA DR,LARCENY,Yes,,118
2021/12/02 00:00:00+00,1520,1520,1 DESTINY USA DR,BURGLARY,Yes,Shoplifting,119
2021/02/19 00:00:00+00,2111,2111,1 DESTINY USA DR,AGGRAVATED ASSAULT,,N/A,120
2021/08/28 00:00:00+00,1943,1943,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,121
2021/12/11 00:00:00+00,1523,1523,1 DESTINY USA DR,LARCENY,Yes,,122
2021/01/22 00:00:00+00,1330,1330,1 DESTINY USA DR,ROBBERY,Yes,All Other,123
2021/06/19 00:00:00+00,1806,1806,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,124
2021/04/17 00:00:00+00,1700,1700,1 DESTINY USA DR,LARCENY,Yes,Purse Snatch,125
2021/01/21 00:00:00+00,1432,1432,1 DESTINY USA DR,LARCENY,Yes,,126
2021/11/08 00:00:00+00,2213,2213,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,127
2021/07/28 00:00:00+00,1130,1530,1 DESTINY USA DR,LARCENY,,All Other,128
2021/10/29 00:00:00+00,1503,1503,1 DESTINY USA DR,BURGLARY,Yes,,129
2021/07/28 00:00:00+00,1315,1315,1 DESTINY USA DR,AGGRAVATED ASSAULT,,N/A,130
2021/06/23 00:00:00+00,2145,2145,1 DESTINY USA DR,LARCENY,Yes,All Other,131
2021/08/28 00:00:00+00,1558,1558,1 DESTINY USA DR,LARCENY,,Shoplifting,132
2021/06/21 00:00:00+00,1100,1320,1 DESTINY USA DR,LARCENY,,All Other,133
2021/10/16 00:00:00+00,1734,1734,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,134
2021/06/22 00:00:00+00,1750,1750,1 DESTINY USA DR,LARCENY,,Shoplifting,135
2021/12/08 00:00:00+00,1150,1150,1 DESTINY USA DR,LARCENY,,Shoplifting,136
2021/08/27 00:00:00+00,1732,1732,1 DESTINY USA DR,LARCENY,,All Other,137
2021/06/27 00:00:00+00,1619,1619,1 DESTINY USA DR,MV THEFT,,Motor Vehicle,138
2021/09/23 00:00:00+00,1947,1947,1 DESTINY USA DR,LARCENY,Yes,,139
2021/04/18 00:00:00+00,1530,1530,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,140
2021/03/11 00:00:00+00,1644,1644,1 DESTINY USA DR,BURGLARY,,All Other,141
2021/02/26 00:00:00+00,1719,1719,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,142
2021/01/23 00:00:00+00,1320,1328,1 DESTINY USA DR,ROBBERY,,Shoplifting,143
2021/06/25 00:00:00+00,1855,1855,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,144
2021/06/17 00:00:00+00,2100,2100,1 DESTINY USA DR,LARCENY,,Shoplifting,145
2021/12/04 00:00:00+00,1921,1921,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,146
2021/09/27 00:00:00+00,1930,1930,1 DESTINY USA DR,LARCENY,Yes,All Other,147
2021/06/19 00:00:00+00,1755,1755,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,148
2021/12/04 00:00:00+00,1300,1900,1 DESTINY USA DR,LARCENY,,All Other,149
2021/02/26 00:00:00+00,1228,1228,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,150
2021/02/17 00:00:00+00,0716,0716,1 DESTINY USA DR,BURGLARY,,All Other,151
2021/08/25 00:00:00+00,1800,2140,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,152
2021/04/03 00:00:00+00,1830,1830,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,153
2021/06/24 00:00:00+00,1817,1817,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,154
2021/04/02 00:00:00+00,1825,1825,1 DESTINY USA DR,LARCENY,Yes,,155
2021/04/03 00:00:00+00,1903,1903,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,156
2021/01/22 00:00:00+00,1650,1655,1 DESTINY USA DR,LARCENY,,Shoplifting,157
2021/10/29 00:00:00+00,1312,1312,1 DESTINY USA DR,BURGLARY,Yes,Shoplifting,158
2021/02/05 00:00:00+00,1600,1600,1 DESTINY USA DR,LARCENY,,Shoplifting,159
2021/08/17 00:00:00+00,1853,1853,1 DESTINY USA DR,LARCENY,Yes,,160
2021/07/12 00:00:00+00,1952,1952,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,161
2021/07/12 00:00:00+00,1732,1732,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,162
2021/08/17 00:00:00+00,1630,1630,1 DESTINY USA DR,LARCENY,,Shoplifting,163
